"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","dupe_dataset"
"BOTH",7464725,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","8962540","4547400",NA,"Dermaleichus oscinum Koch, 1840","Koch, 1840","Dermaleichus oscinum","Dermaleichus","oscinum",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Psoroptoididae","Mesalgoides","GBIF"
"BOTH",8962962,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2194244","2194249",NA,"Notaspis quadridentata Haller, 1882","Haller, 1882","Notaspis quadridentata","Notaspis","quadridentata",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Ceratoppiidae","Ceratoppia","GBIF"
"BOTH",2186772,"7ddf754f-d193-4cc9-b351-99906754a03b","2186588",NA,NA,"Typhlodromus intermedius Wu, 1988","Wu, 1988","Typhlodromus intermedius","Typhlodromus","intermedius",NA,"species",NA,"Wu, W.N. New species and new record of phytoseiid mites from northeast China, genus Typhlodromus Schuster (I), (Acarina: Phytoseiidae) [in Chinese]. Acta Entomologica Sinica, China, 31(1) 99–106. (1988).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Typhlodromus","GBIF"
"BOTH",2186937,"7ddf754f-d193-4cc9-b351-99906754a03b","2186588",NA,NA,"Typhlodromus moraesi Kreiter & Ueckermann, 2002","Kreiter & Ueckermann, 2002","Typhlodromus moraesi","Typhlodromus","moraesi",NA,"species",NA,"Kreiter, S., Ueckermann, E.A. & Quilici, S. Seven new phytoseiid species, with a new generic assignement and a key to the species of La Reunion Island (Acari: Mesostigmata). Acarologia, France, 42(4), 335–350. (2002).","doubtful",NA,"Possible variant of Typhlodromus moraesi Lofego & Feres, 2006","Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Typhlodromus","GBIF"
"BOTH",8004320,"7ddf754f-d193-4cc9-b351-99906754a03b","2186588",NA,NA,"Typhlodromus moraesi Lofego & Feres, 2006","Lofego & Feres, 2006","Typhlodromus moraesi","Typhlodromus","moraesi",NA,"species",NA,"Lofego, A.C. & Feres, R.J.F. A new species of Typhlodromus Scheuten (Acari: Phytoseiidae) from Brazil. Zootaxa, USA, 1221, 25–28. (2006).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Typhlodromus","GBIF"
"BOTH",9919069,"ee28e950-5efe-4ee5-8429-07a09fc746cd","4338200",NA,NA,"Litarachna lopezae Walter, 1925","Walter, 1925","Litarachna lopezae","Litarachna","lopezae",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Litarachna lopezae Pesic, Chatterjee, Alfaro & Schizas, 2014","Animalia","Arthropoda","Arachnida","Trombidiformes","Pontarachnidae","Litarachna","GBIF"
"BOTH",9971453,"f239c787-e431-4a16-8df8-0acf9699b055","2190835",NA,NA,"Eporibatula gessneri Sellnick, 1928","Sellnick, 1928","Eporibatula gessneri","Eporibatula","gessneri",NA,"species",NA,NA,"doubtful",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Oribatulidae","Phauloppia","GBIF"
"BOTH",9020785,"7ddf754f-d193-4cc9-b351-99906754a03b","2186588",NA,NA,"Typhlodromus richteri Karg, 1970","Karg, 1970","Typhlodromus richteri","Typhlodromus","richteri",NA,"species",NA,"Karg, W. Neue Arten der Raubmilbenfamilie Phytoseiidae Berlese, 1916 (Acarina: Parasitiformes). Deutsche Entomologische Zeitschrift, N. F., Germany, 17, 289–301. (1970).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Typhlodromus","GBIF"
"BOTH",2186942,"7ddf754f-d193-4cc9-b351-99906754a03b","2186588",NA,NA,"Typhlodromus gracilentus Tseng, 1975","Tseng, 1975","Typhlodromus gracilentus","Typhlodromus","gracilentus",NA,"species",NA,"Tseng, Y.H. Systematics of the mite family Phytoseiidae from Taiwan, with a revised key to genera of the world (I). Journal of the Agricultural Association of China, New Series, Taiwan, 91, 45–68. (1975).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Typhlodromus","GBIF"
"BOTH",2186869,"7ddf754f-d193-4cc9-b351-99906754a03b","2186588",NA,NA,"Typhlodromus orientalis Wu, 1981","Wu, 1981","Typhlodromus orientalis","Typhlodromus","orientalis",NA,"species",NA,"Wu, W.N. Descriptions of five new species of phytoseiid mites from Fujian (Acarina: Phytoseiidae) [in Chinese]. Wuyi Science Journal, China, 1, 205–213. (1981).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Typhlodromus","GBIF"
