"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","subclass","superorder","order","suborder","infraorder","hyporder","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM",4689,NA,NA,NA,NA,NA,NA,NA,"Bakericheyla (Apodicheyla) africana",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Bakericheyla","Apodicheyla","africana",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Bakericheyla africana"
"UMZM",4690,NA,NA,NA,NA,NA,NA,NA,"Bakericheyla (Apodicheyla) benoiti",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Bakericheyla","Apodicheyla","benoiti",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Bakericheyla benoiti"
"UMZM",4692,NA,NA,NA,NA,NA,NA,NA,"Bakericheyla (Bakericheyla) chanayi",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Bakericheyla","Bakericheyla","chanayi",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Bakericheyla chanayi"
"UMZM",4693,NA,NA,NA,NA,NA,NA,NA,"Bakericheyla (Bakericheyla) subquadrata",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Bakericheyla","Bakericheyla","subquadrata",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Bakericheyla subquadrata"
"UMZM",4694,NA,NA,NA,NA,NA,NA,NA,"Bakericheyla (Bakericheyla) transvaalica",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Bakericheyla","Bakericheyla","transvaalica",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Bakericheyla transvaalica"
"UMZM",4696,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella aegithali",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"aegithali",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella aegithali"
"UMZM",4697,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella amandavae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"amandavae",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella amandavae"
"UMZM",4698,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella ardeola",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"ardeola",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella ardeola"
"UMZM",4699,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella artami",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"artami",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella artami"
"UMZM",4700,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella athene",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"athene",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella athene"
