"compared_names","similar_names"
"Radfordia peromyscus","Radfordia petromyscus"
"Radfordia alticolae","Radfordia arvicolae"
"Radfordia aethomys","Radfordia dephomys"
"Radfordia colomys","Radfordia notomys"
"Radfordia malacomys","Radfordia mastacomys"
"Radfordia zyzomys","Radfordia oryzomys"
"Acanthophthirius alatus","Acanthophthirius clarus"
"Acanthophthirius alatus","Acanthophthirius hamatus"
"Binuncus eonycteris","Binuncus myonycteris"
"Pteracarus compactus","Pteracarus completus"
"Pteracarus melonycteris","Pteracarus tylonycteris"
