"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
"BOTH",7394799,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183137",NA,"Haemaphysalis novaeguineae Toumanoff, 1944","Toumanoff, 1944","Haemaphysalis novaeguineae","Haemaphysalis","novaeguineae",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
"BOTH",2183115,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183114",NA,"Haemaphysalis novea-guineae Krijgsman & Ponto, 1932","Krijgsman & Ponto, 1932","Haemaphysalis novea-guineae","Haemaphysalis","novea-guineae",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
"BOTH",7526325,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174340",NA,"Ixodes lunatus Colas-Belcour & Grenier, 1942","Colas-Belcour & Grenier, 1942","Ixodes lunatus","Ixodes","lunatus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",7401374,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","2182565",NA,"Ixodes vulpis Schulze & Schlottke, 1930","Schulze & Schlottke, 1930","Ixodes vulpis","Ixodes","vulpis",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",4549071,"de8934f4-a136-481c-a87a-b0b202b80a31","2188248","2188249",NA,"Varroa jacobsoni Oudemans, 1904","Oudemans, 1904","Varroa jacobsoni","Varroa","jacobsoni",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Varroidae","Varroa"
"BOTH",7438562,"de8934f4-a136-481c-a87a-b0b202b80a31","2192163","2192167",NA,"Nothrus segnis",NA,"Nothrus segnis","Nothrus","segnis",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Crotoniidae","Camisia"
"BOTH",10372376,"de8934f4-a136-481c-a87a-b0b202b80a31","2192163","2192167",NA,"Camisia scabra",NA,"Camisia scabra","Camisia","scabra",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Crotoniidae","Camisia"
"BOTH",2183776,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183769",NA,"Ornithodoros annulatus Grimaldi, 1934","Grimaldi, 1934","Ornithodoros annulatus","Ornithodoros","annulatus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",2183753,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183769",NA,"Ixodes dugesi Mégnin, 1880","Mégnin, 1880","Ixodes dugesi","Ixodes","dugesi",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",10662818,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183597",NA,"Rhipicephalus dugesi Neumann, 1911","Neumann, 1911","Rhipicephalus dugesi","Rhipicephalus","dugesi",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
