"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","TPTdataset","TPTID","scientificNameID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","namePublishedInYear","higherClassification","subgenus","verbatimTaxonRank","vernacularName","nomenclaturalCode","reason"
"NEW","7873362","7ddf754f-d193-4cc9-b351-99906754a03b","2130420","2128981","2128982","Petrobia uncata (Flechtmann & Moraes, 1991)","(Flechtmann & Moraes, 1991)","Petrobia uncata","Petrobia","uncata",NA,"species",NA,"Bolland, H.R., Gutierrez, J. and Flechtmann, C.H.W. World catalogue of the spider mite family (Acari: Tetranychidae). Leiden, Brill Academic Publishers: 392 p. (1998).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Petrobia",NA,NA,NA,NA,NA,NA,"Petrobia uncata",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7875557","7ddf754f-d193-4cc9-b351-99906754a03b","2130013","2129514","2129516","Paraplonobia theroni (Meyer, 1974)","(Meyer, 1974)","Paraplonobia theroni","Paraplonobia","theroni",NA,"species",NA,"Bolland, H.R., Gutierrez, J. and Flechtmann, C.H.W. World catalogue of the spider mite family (Acari: Tetranychidae). Leiden, Brill Academic Publishers: 392 p. (1998).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Paraplonobia",NA,NA,NA,NA,NA,NA,"Paraplonobia theroni",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7880004","7ddf754f-d193-4cc9-b351-99906754a03b","2130777","2130316",NA,"Tetranychus mexicanus (McGregor, 1950)","(McGregor, 1950)","Tetranychus mexicanus","Tetranychus","mexicanus",NA,"species",NA,"Tuttle, D.M., Baker, E.W. and Abbatiello, M. Spider mites of Mexico (Acarina : Tetranychidae). International Journal of Acarology, 2: 1-102. (1976).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Tetranychus",NA,NA,NA,NA,NA,NA,"Tetranychus mexicanus",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7922100","7ddf754f-d193-4cc9-b351-99906754a03b","2130431","2130710","2130711","Oligonychus pritchardi (McGregor, 1950)","(McGregor, 1950)","Oligonychus pritchardi","Oligonychus","pritchardi",NA,"species",NA,"Wainstein, B.A. Tetranychoid mites of Kazakhstan (with revision of the family). Trudy Nauchno-Issled. Inst. Zashchita Rastenii Kazakh., 5: 1-276. (1960).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Oligonychus",NA,NA,NA,NA,NA,NA,"Oligonychus pritchardi",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7928548","7ddf754f-d193-4cc9-b351-99906754a03b","2130013","2129473",NA,"Paraplonobia myops (Pritchard & Baker, 1955)","(Pritchard & Baker, 1955)","Paraplonobia myops","Paraplonobia","myops",NA,"species",NA,"Tuttle, D.M. and Baker, E.W. Spider mites of southwestern United States and a revision of the family Tetranychidae. Tuscon, Usa, The University of Arizona Press: 143 p. (1968).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Paraplonobia",NA,NA,NA,NA,NA,NA,"Paraplonobia myops",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7930513","7ddf754f-d193-4cc9-b351-99906754a03b","2130013","2129462","2129464","Paraplonobia juliflorae (Tuttle & Baker, 1968)","(Tuttle & Baker, 1968)","Paraplonobia juliflorae","Paraplonobia","juliflorae",NA,"species",NA,"Bolland, H.R., Gutierrez, J. and Flechtmann, C.H.W. World catalogue of the spider mite family (Acari: Tetranychidae). Leiden, Brill Academic Publishers: 392 p. (1998).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Paraplonobia",NA,NA,NA,NA,NA,NA,"Paraplonobia juliflorae",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7963968","7ddf754f-d193-4cc9-b351-99906754a03b","2130431","2130642","5167900","Oligonychus aceris (Shimer, 1869)","(Shimer, 1869)","Oligonychus aceris","Oligonychus","aceris",NA,"species",NA,"Tuttle, D.M. and Baker, E.W. Spider mites of southwestern United States and a revision of the family Tetranychidae. Tuscon, Usa, The University of Arizona Press: 143 p. (1968).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Oligonychus",NA,NA,NA,NA,NA,NA,"Oligonychus aceris",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","7999410","7ddf754f-d193-4cc9-b351-99906754a03b","2129109","2129079","2129080","Aplonobia histricina (Berlese, 1910)","(Berlese, 1910)","Aplonobia histricina","Aplonobia","histricina",NA,"species",NA,"Wainstein, B.A. A revision of the tribe Petrobiini (Reck) (Acariformes, Tetranychidae). Entomologicheskoe Obozrenie, 39: 214-226. (1960).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Aplonobia",NA,NA,NA,NA,NA,NA,"Aplonobia histricina",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","8001992","7ddf754f-d193-4cc9-b351-99906754a03b","2130084","2128791","2128792","Bryobia aegyptiacus (Zaher, Gomaa & El-Enany, 1982)","(Zaher, Gomaa & El-Enany, 1982)","Bryobia aegyptiacus","Bryobia","aegyptiacus",NA,"species",NA,"Smiley, R.L. and Baker, E.W. A report on some tetranychid mites (Acari: Prostigmata) from Yemen. International Journal of Acarology, 21: 135-164. (1995).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Bryobia",NA,NA,NA,NA,NA,NA,"Bryobia aegyptiacus",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","8012359","7ddf754f-d193-4cc9-b351-99906754a03b","2130013","2129480",NA,"Paraplonobia prosopis (Tuttle & Baker, 1964)","(Tuttle & Baker, 1964)","Paraplonobia prosopis","Paraplonobia","prosopis",NA,"species",NA,"Tuttle, D.M. and Baker, E.W. Spider mites of southwestern United States and a revision of the family Tetranychidae. Tuscon, Usa, The University of Arizona Press: 143 p. (1968).","synonym",NA,NA,"Animalia","Arthropoda",NA,"Trombidiformes","Tetranychidae","Paraplonobia",NA,NA,NA,NA,NA,NA,"Paraplonobia prosopis",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
